date,year,month,day,time,hour,minute,direction,type,file_idx,vehicle_count,occupancy,is_public_vehicle,total_electric,is_electric
2022-10-24,2022,10,24,10:20,10,20,In,Bus,97,2,56.0,0.0,0.0,0
2022-10-24,2022,10,24,10:20,10,20,In,Car,97,7,1.5714285714285714,0.0,2.0,1
2022-10-24,2022,10,24,10:20,10,20,In,Van,97,1,2.0,0.0,0.0,0
2022-10-24,2022,10,24,10:20,10,20,Out,Bus,81,2,12.000000000000002,0.0,0.0,0
2022-10-24,2022,10,24,10:20,10,20,Out,Car,81,11,1.2727272727272727,0.0,0.0,0
2022-10-24,2022,10,24,10:20,10,20,Out,Lorry,81,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:20,10,20,Out,Van,81,1,2.0,0.0,0.0,0
2022-10-24,2022,10,24,10:25,10,25,In,Bicycle,97,2,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:25,10,25,In,Bus,97,2,64.0,0.0,0.0,0
2022-10-24,2022,10,24,10:25,10,25,In,Car,97,16,1.8125,0.0,4.0,1
2022-10-24,2022,10,24,10:25,10,25,In,Lorry,97,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:25,10,25,In,Van,97,2,1.5,0.0,0.0,0
2022-10-24,2022,10,24,10:25,10,25,Out,Bus,81,2,6.000000000000001,0.0,0.0,0
2022-10-24,2022,10,24,10:25,10,25,Out,Car,81,15,1.4666666666666666,0.0,0.0,0
2022-10-24,2022,10,24,10:25,10,25,Out,Lorry,81,3,1.6666666666666667,0.0,0.0,0
2022-10-24,2022,10,24,10:30,10,30,In,Car,97,14,1.7142857142857142,0.0,3.0,1
2022-10-24,2022,10,24,10:30,10,30,In,Lorry,97,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:30,10,30,In,Motorbike,97,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:30,10,30,Out,Bus,81,3,4.000000000000001,0.0,0.0,0
2022-10-24,2022,10,24,10:30,10,30,Out,Car,81,11,1.7272727272727273,0.0,0.0,0
2022-10-24,2022,10,24,10:30,10,30,Out,Lorry,81,3,1.6666666666666667,0.0,0.0,0
2022-10-24,2022,10,24,10:30,10,30,Out,Van,81,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:35,10,35,In,Bicycle,97,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:35,10,35,In,Bus,97,2,76.0,0.0,0.0,0
2022-10-24,2022,10,24,10:35,10,35,In,Car,97,12,1.5833333333333333,0.0,2.0,1
2022-10-24,2022,10,24,10:35,10,35,In,Motorbike,97,2,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:35,10,35,In,Van,97,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:35,10,35,Out,Bus,81,1,4.0,0.0,0.0,0
2022-10-24,2022,10,24,10:35,10,35,Out,Car,81,10,1.7,0.0,0.0,0
2022-10-24,2022,10,24,10:35,10,35,Out,Lorry,81,3,1.3333333333333333,0.0,0.0,0
2022-10-24,2022,10,24,10:35,10,35,Out,Motorbike,81,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:40,10,40,In,Bicycle,97,2,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:40,10,40,In,Bus,97,3,26.666666666666664,0.0,0.0,0
2022-10-24,2022,10,24,10:40,10,40,In,Car,97,31,1.8064516129032258,0.0,9.0,1
2022-10-24,2022,10,24,10:40,10,40,Out,Bicycle,81,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:40,10,40,Out,Bus,81,2,10.0,0.0,0.0,0
2022-10-24,2022,10,24,10:40,10,40,Out,Car,81,10,1.5,0.0,0.0,0
2022-10-24,2022,10,24,10:40,10,40,Out,Lorry,81,1,2.0,0.0,0.0,0
2022-10-24,2022,10,24,10:40,10,40,Out,Motorbike,81,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:45,10,45,In,Bicycle,97,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:45,10,45,In,Car,97,22,1.9090909090909092,0.0,4.0,1
2022-10-24,2022,10,24,10:45,10,45,In,Lorry,97,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:45,10,45,In,Van,97,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:45,10,45,Out,Bus,81,2,4.0,0.0,0.0,0
2022-10-24,2022,10,24,10:45,10,45,Out,Car,81,20,1.05,0.0,0.0,0
2022-10-24,2022,10,24,10:45,10,45,Out,Lorry,81,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:45,10,45,Out,Van,81,3,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:50,10,50,In,Bus,97,1,80.0,0.0,0.0,0
2022-10-24,2022,10,24,10:50,10,50,In,Car,97,6,1.3333333333333333,0.0,1.0,1
2022-10-24,2022,10,24,10:50,10,50,In,Taxi,97,1,2.0,0.0,0.0,0
2022-10-24,2022,10,24,10:50,10,50,Out,Car,81,1,1.0,0.0,0.0,0
2022-10-24,2022,10,24,10:50,10,50,Out,Van,81,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,08:30,08,30,In,Bicycle,89,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,08:30,08,30,In,Bus,89,1,10.4,0.0,0.0,0
2022-10-25,2022,10,25,08:30,08,30,In,Car,89,10,1.3,0.0,0.0,0
2022-10-25,2022,10,25,08:30,08,30,In,Taxi,89,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,08:35,08,35,In,Bicycle,89,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,08:35,08,35,In,Bus,89,1,6.4,0.0,0.0,0
2022-10-25,2022,10,25,08:35,08,35,In,Car,89,8,1.5,0.0,0.0,0
2022-10-25,2022,10,25,08:35,08,35,In,Lorry,89,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,08:35,08,35,In,Motorbike,89,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,08:35,08,35,In,Taxi,89,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,08:35,08,35,In,Van,89,2,2.0,0.0,0.0,0
2022-10-25,2022,10,25,08:40,08,40,In,Bicycle,89,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,08:40,08,40,In,Bus,89,1,7.199999999999999,0.0,0.0,0
2022-10-25,2022,10,25,08:40,08,40,In,Car,89,8,1.5,0.0,0.0,0
2022-10-25,2022,10,25,08:40,08,40,In,Lorry,89,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,08:40,08,40,In,Taxi,89,2,1.5,0.0,0.0,0
2022-10-25,2022,10,25,08:45,08,45,In,Bicycle,89,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,08:45,08,45,In,Bus,89,2,9.6,0.0,0.0,0
2022-10-25,2022,10,25,08:45,08,45,In,Car,89,10,1.4,0.0,0.0,0
2022-10-25,2022,10,25,08:45,08,45,In,Lorry,89,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,08:45,08,45,In,Motorbike,89,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,08:50,08,50,In,Bicycle,89,3,1.0,0.0,0.0,0
2022-10-25,2022,10,25,08:50,08,50,In,Bus,89,2,11.600000000000001,0.0,0.0,0
2022-10-25,2022,10,25,08:50,08,50,In,Car,89,10,1.4,0.0,0.0,0
2022-10-25,2022,10,25,08:50,08,50,In,Van,89,2,2.0,0.0,0.0,0
2022-10-25,2022,10,25,08:55,08,55,In,Bicycle,89,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,08:55,08,55,In,Bus,89,1,9.6,0.0,0.0,0
2022-10-25,2022,10,25,08:55,08,55,In,Car,89,12,1.5,0.0,0.0,0
2022-10-25,2022,10,25,08:55,08,55,In,Lorry,89,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,08:55,08,55,In,Motorbike,89,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,08:55,08,55,In,Van,89,2,1.5,0.0,0.0,0
2022-10-25,2022,10,25,09:00,09,00,In,Bicycle,119,4,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:00,09,00,In,Bus,89,3,13.600000000000001,0.0,0.0,0
2022-10-25,2022,10,25,09:00,09,00,In,Car,89,10,1.6,0.0,0.0,0
2022-10-25,2022,10,25,09:00,09,00,In,Motorbike,119,2,1.5,0.0,0.0,0
2022-10-25,2022,10,25,09:00,09,00,In,Taxi,89,1,3.0,0.0,0.0,0
2022-10-25,2022,10,25,09:00,09,00,In,Van,89,2,2.0,0.0,0.0,0
2022-10-25,2022,10,25,09:00,09,00,Out,Bus,92,2,20.0,0.0,0.0,0
2022-10-25,2022,10,25,09:00,09,00,Out,Car,92,9,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:00,09,00,Out,Van,92,3,1.3333333333333333,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,In,Bicycle,119,3,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,In,Bus,119,4,76.0,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,In,Car,119,3,2.3333333333333335,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,In,Motorbike,119,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,In,Taxi,119,2,2.5,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,In,Van,119,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,Out,Bus,92,1,0.0,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,Out,Car,92,5,1.2,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,Out,Lorry,92,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,Out,Motorbike,92,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,Out,Taxi,92,5,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:05,09,05,Out,Van,92,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,09:10,09,10,In,Bicycle,119,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:10,09,10,In,Bus,119,2,80.0,0.0,0.0,0
2022-10-25,2022,10,25,09:10,09,10,In,Car,119,9,1.3333333333333333,0.0,0.0,0
2022-10-25,2022,10,25,09:10,09,10,In,Lorry,119,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,09:10,09,10,In,Van,119,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,09:10,09,10,Out,Bus,92,5,8.0,0.0,0.0,0
2022-10-25,2022,10,25,09:10,09,10,Out,Car,92,7,1.2857142857142858,0.0,0.0,0
2022-10-25,2022,10,25,09:10,09,10,Out,Motorbike,92,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:10,09,10,Out,Van,92,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:15,09,15,In,Bicycle,119,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:15,09,15,In,Bus,119,7,40.0,0.0,0.0,0
2022-10-25,2022,10,25,09:15,09,15,In,Car,119,9,1.2222222222222223,0.0,0.0,0
2022-10-25,2022,10,25,09:15,09,15,In,Lorry,119,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:15,09,15,In,Van,119,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:15,09,15,Out,Bus,92,2,0.0,0.0,0.0,0
2022-10-25,2022,10,25,09:15,09,15,Out,Car,92,3,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:15,09,15,Out,Van,92,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:20,09,20,In,Bicycle,119,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:20,09,20,In,Car,119,15,1.3333333333333333,0.0,0.0,0
2022-10-25,2022,10,25,09:20,09,20,In,Lorry,119,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:20,09,20,In,Taxi,119,2,2.0,0.0,0.0,0
2022-10-25,2022,10,25,09:20,09,20,In,Van,119,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:20,09,20,Out,Bus,92,3,0.0,0.0,0.0,0
2022-10-25,2022,10,25,09:20,09,20,Out,Car,92,4,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:20,09,20,Out,Taxi,92,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:25,09,25,In,Bicycle,119,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,09:25,09,25,In,Bus,119,1,64.0,0.0,0.0,0
2022-10-25,2022,10,25,09:25,09,25,In,Car,119,8,1.375,0.0,0.0,0
2022-10-25,2022,10,25,09:25,09,25,In,Motorbike,119,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,09:25,09,25,In,Taxi,119,2,2.5,0.0,0.0,0
2022-10-25,2022,10,25,09:25,09,25,In,Van,119,3,1.3333333333333333,0.0,0.0,0
