Date,Time ,Direction,Type,Occupancy,Engine Type,
25/10/2022,10:30,  IN,Bus,94%,Combustible,
25/10/2022,10:30,  IN,Car,3,Combustible,s
25/10/2022,10:30,  IN,Car,1,Hybrid,
25/10/2022,10:30,  IN,Van,1,Combustible,
25/10/2022,10:30,  IN,Car,1,Electric,
25/10/2022,10:35,  IN,Bus,97%,Combustible,
  25/10/2022,10:35,  IN,Taxi,2,Combustible,
  25/10/2022,10:35,  IN,Van,1,Combustible,
  25/10/2022,10:35,  IN,Car,2,Electric,
  25/10/2022,10:35,  IN,Car,2,Combustible,
  25/10/2022,10:40,  IN,Car,1,Electric,
  25/10/2022,10:40,  IN,Car,2,Hybrid,
  25/10/2022,10:40,  IN,Car,1,Combustible,
  25/10/2022,10:40,  IN,Bicycle,1,Electric,
  25/10/2022,10:40,  IN,Bus,90%,Combustible,
  25/10/2022,10:45,  IN,Van,2,Combustible,
  25/10/2022,10:45,  IN,Bus,84%,Combustible,
  25/10/2022,10:45,  IN,Van,1,Combustible,
  25/10/2022,10:45,  IN,Car,3,Electric,
  25/10/2022,10:45,  IN,Van,2,Hybrid,
  25/10/2022,10:50,  IN,Car,1,Combustible,
  25/10/2022,10:50,  IN,Car,1,Hybrid,
  25/10/2022,10:50,  IN,Car,2,Hybrid,
  25/10/2022,10:50,  IN,Bicycle,1,N/A,
  25/10/2022,10:50,  IN,Van,3,Combustible,
  25/10/2022,10:55,  IN,Bus,98%,Combustible,
  25/10/2022,10:55,  IN,Bus,92%,Combustible,
  25/10/2022,10:55,  IN,Motorbike,1,Combustible,
  25/10/2022,10:55,  IN,Bicycle,1,Electric,
  25/10/2022,10:55,  IN,Bus,87%,Combustible,
  25/10/2022,11:00,  IN,Van,2,Combustible,
  25/10/2022,11:00,  IN,Bus,85%,Combustible,
  25/10/2022,11:00,  IN,Car,1,Electric,
  25/10/2022,11:00,  IN,Car,1,Hybrid,
  25/10/2022,11:00,  IN,Van,1,Combustible,
  25/10/2022,11:00,  IN,Car,3,Combustible,
  25/10/2022,11:00,  IN,Van,3,Combustible,
  25/10/2022,11:00,  IN,Van,2,Combustible,
  25/10/2022,11:00,  IN,Bicycle,1,N/A,
  25/10/2022,11:00,  IN,Scooters,1,Electric,
  25/10/2022,11:00,  IN,Lorry,3,Combustible,
  25/10/2022,11:00,  IN,Car,1,Electric,
  25/10/2022,11:00,  IN,Car,1,Combustible,
  25/10/2022,11:00,  IN,Van,1,Combustible,
  25/10/2022,11:00,  IN,Bicycle,1,N/A,
  25/10/2022,11:00,  IN,Scooters,1,Electric,
  25/10/2022,11:00,  IN,Lorry,1,Combustible,
