DATE,TIME,DIRECTION,TYPE OF VEHICLE,Occupancy, TYPE OF TRANSPORTATION
26.10.2022,10:31,OUT,CAR,0.25,PRIVATE
26.10.2022,10:31,OUT,CAR,0.25,PRIVATE
26.10.2022,10:32,OUT,CAR,0.25,PRIVATE
26.10.2022,10:33,OUT,BUS,0.3,PUBLIC
26.10.2022,10:35,OUT,BUS,0.2,PUBLIC
26.10.2022,10:37,OUT,BUS,0.3,PUBLIC
26.10.2022,10:40,OUT,CAR,0.25,PRIVATE
26.10.2022,10:41,OUT,CAR,0.75,PRIVATE
26.10.2022,10:44,OUT,CAR,0.25,PRIVATE
26.10.2022,10:47,OUT,TAXI,0.25,PUBLIC
26.10.2022,10:48,OUT,CAR,0.25,PRIVATE
26.10.2022,10:48,OUT,BUS,0.15,PUBLIC
26.10.2022,10:49,OUT,VAN,0.25,PRIVATE
26.10.2022,10:51,OUT,BUS,0.15,PUBLIC
26.10.2022,10:52,OUT,CAR,0.75,PRIVATE
26.10.2022,10:53,OUT,CAR,0.75,PRIVATE
26.10.2022,10:54,OUT,CAR,0.25,PRIVATE
26.10.2022,10:54,OUT,TRUCK,0.25,PRIVATE
26.10.2022,10:54,OUT,BUS,0.2,PUBLIC
26.10.2022,10:56,OUT,CAR,0.5,PRIVATE
26.10.2022,10:57,OUT,BUS,0.2,PUBLIC
26.10.2022,10:57,OUT,TAXI,0.25,PUBLIC
26.10.2022,10:58,OUT,CAR,0.75,PRIVATE
26.10.2022,10:58,OUT,CAR,0.25,PRIVATE
26.10.2022,10:59,OUT,CAR,0.5,PRIVATE
26.10.2022,10:59,OUT,BUS,0.15,PUBLIC
26.10.2022,10:59,OUT,CAR,0.25,PRIVATE
26.10.2022,11:00,OUT,CAR,0.5,PRIVATE
26.10.2022,11:00,OUT,BUS,0.2,PUBLIC
26.10.2022,11:00,OUT,CAR,0.25,PRIVATE
26.10.2022,11:01,OUT,BUS,0.15,PUBLIC
26.10.2022,11:01,OUT,CAR,0.25,PRIVATE
26.10.2022,11:01,OUT,CAR,0.25,PRIVATE
26.10.2022,11:01,OUT,CAR,0.25,PRIVATE
26.10.2022,11:02,OUT,CAR,0.5,PRIVATE
26.10.2022,11:02,OUT,CAR,0.5,PRIVATE
26.10.2022,11:02,OUT,CAR,1,PRIVATE
26.10.2022,11:02,OUT,CAR,0.25,PRIVATE
26.10.2022,11:03,OUT,TAXI,0.5,PUBLIC
26.10.2022,11:03,OUT,VAN,0.25,PRIVATE
