Date,Time,Direction,Type,Occupancy,Color,Public/Private
23/10/2023,10.30am,out,car,0.2,grey,private
23/10/2023,10.30am,out,car,0.2,other,private
23/10/2023,10.30am,out,car,0.2,grey,private
23/10/2023,10.30am,out,van,0.5,white,public
23/10/2023,10.30am,out,van,1,,public
23/10/2023,10.30am,out,car,0.4,black,public
23/10/2023,10.30am,out,car,0.2,black,private
23/10/2023,10.30am,out,bus,0.1,blue,public
23/10/2023,10.30am,out,car,0.2,red,private
23/10/2023,10.30am,out,car,0.2,blue,private
23/10/2023,10.30am,out,bicycle,1,grey,private
23/10/2023,10.30am,out,bus ,0.2,blue,public
23/10/2023,10.30am,out,car,0.4,grey,private
23/10/2023,10.30am,out,bus,0.1,white,public
23/10/2023,10.35am,out,lorry,0.5,grey,private
23/10/2023,10.35am,out,car,0.2,grey,private
23/10/2023,10.35am,out,car,0.1,red,private
23/10/2023,10.35am,out,car,0.2,black,private
23/10/2023,10.40am,out,car,0.2,red,public
23/10/2023,10.40am,out,car,0.2,grey,private
23/10/2023,10.40am,out,bus,0.1,blue,public
23/10/2023,10.40am,out,car,0.2,grey,private
23/10/2023,10.40am,out,taxi,0.2,grey,public
23/10/2023,10.40am,out,car,0.4,other,private
23/10/2023,10.40am,out,lorry,0.5,white,public
23/10/2023,10.40am,out,car,0.2,white,private
23/10/2023,10.40am,out,car,0.5,black,private
23/10/2023,10.45am,out,car,0.4,black,private
23/10/2023,10.45am,out,car,0.2,red,public
23/10/2023,10.45am,out,car,0.2,grey,private
23/10/2023,10.45am,out,car,0.4,black,private
23/10/2023,10.45am,out,car,0.4,black,private
23/10/2023,10.45am,out,bus,0.1,black,public
23/10/2023,10.45am,out,van,0.5,white,private
23/10/2023,10.45am,out,car,0.2,black,private
23/10/2023,10.45am,out,car,0.2,red,private
23/10/2023,10.45am,out,bus,0.2,black,private
23/10/2023,10.50am,out,car,0.2,blue,public
23/10/2023,10.50am,out,bus,0.05,blue,public
23/10/2023,10.50am,out,car,0.2,red,private
23/10/2023,10.50am,out,car,0.4,red,private
23/10/2023,10.50am,out,car,0.5,red,private
23/10/2023,10.50am,out,car,0.2,white,private
23/10/2023,10.50am,out,car,0.2,blue,private
23/10/2023,10.50am,out,car,0.2,black,private
23/10/2023,10.50am,out,car,0.2,white,private
23/10/2023,10.50am,out,lorry,0.5,white,public
23/10/2023,10.50am,out,car,0.5,black,private
23/10/2023,10.55am,out,car,0.2,black,private
23/10/2023,10.55am,out,car,0.2,black,private
23/10/2023,10.55am,out,bus,0.1,blue,public
23/10/2023,10.55am,out,car,0.2,grey,private
23/10/2023,10.55am,out,bus,0.3,blue,public
23/10/2023,10.55am,out,car,0.5,grey,private
23/10/2023,10.55am,out,car,0.4,blue,private
23/10/2023,10.55am,out,car,0.5,red,private
23/10/2023,10.55am,out,car,0.4,grey,private
23/10/2023,10.55am,out,car,0.4,white,private
23/10/2023,10.55am,out,car,0.2,black,private
