Date,Time,Direction,Type,Occupancy,Tint > 50% ,Tint Area
24/10/2023,9:30am,IN,Car,1,No,N/A
24/10/2023,9:30am,IN,Bus,75%,N/A,N/A
24/10/2023,9:30am,IN,Car,2,Yes,Rear All
24/10/2023,9:30am,IN,Car,2,No,N/A
24/10/2023,9:30am,IN,Car,4,Yes,Rear All
24/10/2023,9:31am,IN,Car,2,Yes,Rear Windscreen
24/10/2023,9:31am,IN,Bus,100%,No,N/A
24/10/2023,9:31am,IN,Car,4,Yes,Rear Windscreen
24/10/2023,9:34am,IN,Bus,100%,N/A,N/A
24/10/2023,9:34am,IN,Car,2,No,N/A
24/10/2023,9:34am,IN,Car,2,Yes,Rear All
24/10/2023,9:34am,IN,Bus,2,Yes,Rear All
24/10/2023,9:34am,IN,Bus,100%,N/A,N/A
24/10/2023,9:34am,IN,Car,1,No,N/A
24/10/2023,9:35am,IN,Car,2,Yes,Rear Windscreen
24/10/2023,9:35am,IN,Car,2,Yes,Rear All
24/10/2023,9:35am,IN,Car,1,Yes,Rear Windscreen
24/10/2023,9:36am,IN,Bus,50%,N/A,N/A
24/10/2023,9:36am,IN,Car,2,No,N/A
24/10/2023,9:36am,IN,Car,1,Yes,Rear All
24/10/2023,9:36am,IN,Car,1,Yes,Rear All
24/10/2023,9:36am,IN,Car,2,No,N/A
24/10/2023,9:36am,IN,Car,2,Yes,Rear All
24/10/2023,9:36am,IN,Car,2,No,N/A
24/10/2023,9:36am,IN,Car,2,No,N/A
24/10/2023,9:36am,IN,Car,2,No,N/A
24/10/2023,9:36am,IN,Car,1,No,N/A
24/10/2023,9:36am,IN,Car,2,No,N/A
24/10/2023,9:36am,IN,Car,2,No,N/A
24/10/2023,9:37am,IN,Car,1,Yes,Rear All
24/10/2023,9:37am,IN,Car,1,Yes,Rear All
24/10/2023,9:37am,IN,Car,2,Yes,Rear All & Front Quarter & Front Door
24/10/2023,9:37am,IN,Car,2,Yes,Rear All
24/10/2023,9:37am,IN,Car,2,Yes,Rear All & Front Door
24/10/2023,9:37am,IN,Car,2,No,N/A
24/10/2023,9:37am,IN,Car,1,Yes,Rear All
24/10/2023,9:37am,IN,Car,1,No,N/A
24/10/2023,9:37am,IN,Car,1,Yes,Rear All
24/10/2023,9:38am,IN,Car,2,Yes,Rear All
24/10/2023,9:38am,IN,Car,2,No,N/A
24/10/2023,9:38am,IN,Car,2,No,N/A
24/10/2023,9:38am,IN,Car,1,No,N/A
